"id";"s_title";"s_link";"b_link"
1;"mattrib";"http://man.linuxde.net/mattrib";"http://man.linuxde.net/sub/常用工具命令"
2;"mmove";"http://man.linuxde.net/mmove";"http://man.linuxde.net/sub/常用工具命令"
3;"mdel";"http://man.linuxde.net/mdel";"http://man.linuxde.net/sub/常用工具命令"
4;"linux文件和目錄管理的基本命令";"http://man.linuxde.net/linux%e6%96%87%e4%bb%b6%e5%92%8c%e7%9b%ae%e9%8c%84%e7%ae%a1%e7%90%86%e7%9a%84%e5%9f%ba%e6%9c%ac%e5%91%bd%e4%bb%a4";"http://man.linuxde.net/sub/常用工具命令"
5;"Find";"http://man.linuxde.net/find-2";"http://man.linuxde.net/sub/常用工具命令"
6;"rm – Remove";"http://man.linuxde.net/rm-remove";"http://man.linuxde.net/sub/常用工具命令"
7;"cd – Change Directory";"http://man.linuxde.net/cd-change-directory";"http://man.linuxde.net/sub/常用工具命令"
8;"ls – List";"http://man.linuxde.net/ls-list";"http://man.linuxde.net/sub/常用工具命令"
9;"Decompression Bomb";"http://man.linuxde.net/decompression-bomb";"http://man.linuxde.net/sub/常用工具命令"
10;"Malicious Source Code";"http://man.linuxde.net/malicious-source-code";"http://man.linuxde.net/sub/常用工具命令"
11;"Dd Command";"http://man.linuxde.net/dd-command";"http://man.linuxde.net/sub/常用工具命令"
12;"Tar Bomb";"http://man.linuxde.net/tar-bomb";"http://man.linuxde.net/sub/常用工具命令"
13;"Mkfs Command";"http://man.linuxde.net/mkfs-command";"http://man.linuxde.net/sub/常用工具命令"
14;"Rm -Rf Command";"http://man.linuxde.net/rm-rf-command";"http://man.linuxde.net/sub/常用工具命令"
15;"Mv Folder/Dev/Null Command";"http://man.linuxde.net/mv-folderdevnull-command";"http://man.linuxde.net/sub/常用工具命令"
16;"pssh";"http://man.linuxde.net/pssh";"http://man.linuxde.net/sub/常用工具命令"
17;"screen";"http://man.linuxde.net/screen";"http://man.linuxde.net/sub/常用工具命令"
18;"speedtest-cli";"http://man.linuxde.net/speedtest-cli";"http://man.linuxde.net/sub/常用工具命令"
19;"clockdiff";"http://man.linuxde.net/clockdiff";"http://man.linuxde.net/sub/常用工具命令"
20;"ntpdate";"http://man.linuxde.net/ntpdate";"http://man.linuxde.net/sub/常用工具命令"
21;"rsync";"http://man.linuxde.net/rsync";"http://man.linuxde.net/sub/常用工具命令"
22;"vdfuse";"http://man.linuxde.net/vdfuse";"http://man.linuxde.net/sub/常用工具命令"
23;"ngrep";"http://man.linuxde.net/ngrep";"http://man.linuxde.net/sub/常用工具命令"
24;"tempfile";"http://man.linuxde.net/tempfile";"http://man.linuxde.net/sub/常用工具命令"
25;"xargs";"http://man.linuxde.net/xargs";"http://man.linuxde.net/sub/常用工具命令"
26;"awk";"http://man.linuxde.net/awk";"http://man.linuxde.net/sub/常用工具命令"
